Date,Close/Last,Volume,Open,High,Low
05/11/2021,$158.54,15451670,$161.08,$162.39,$158.04
05/10/2021,$161.22,14014330,$161.5,$163.73,$161.12
05/07/2021,$161.24,14257830,$157.22,$161.5,$157.02
05/06/2021,$160.69,13542410,$158.07,$160.825,$157.16
05/05/2021,$157.52,6938197,$156,$158.28,$154.63
05/04/2021,$155.48,12977670,$152.87,$155.64,$152.14
05/03/2021,$153.36,11801110,$154.85,$155.48,$153.13
04/30/2021,$153.81,11705070,$154.1,$154.49,$153.01
04/29/2021,$155.19,12976870,$153.54,$155.28,$153.2
04/28/2021,$152.23,8943653,$152.43,$152.89,$151.4
04/27/2021,$151.25,12821180,$150.5,$151.57,$150.11
04/26/2021,$150.56,10799070,$150.78,$152.46,$150.38
04/23/2021,$150.19,14043090,$147.18,$151.13,$146.685
04/22/2021,$147.37,15256120,$150.23,$150.3,$147.26
04/21/2021,$150.54,12236670,$147.79,$150.61,$146.79
04/20/2021,$149.27,13716680,$151.74,$151.75,$148.65
04/19/2021,$152.65,11900220,$153.42,$153.88,$152.22
04/16/2021,$153.3,13773410,$153.87,$154.51,$152.69
04/15/2021,$152.17,17694130,$151.25,$152.2,$149.32
04/14/2021,$151.21,19939590,$151.47,$153.83,$150.93
04/13/2021,$154.09,16113560,$154.75,$155.2,$152.43
04/12/2021,$155.95,12273360,$155.58,$157.25,$155.57
04/09/2021,$156.28,12122400,$155.81,$157.042,$154.97
04/08/2021,$155.12,12335510,$154,$155.505,$152.31
04/07/2021,$154.93,16903520,$153.1,$155.23,$152.65
04/06/2021,$152.54,13071550,$152.79,$154.28,$151.86
04/05/2021,$153.62,13507980,$154.4,$154.94,$152.6
04/01/2021,$153.71,16561510,$151.9,$153.79,$151.55
03/31/2021,$152.23,16736680,$153.28,$154.49,$152.12
03/30/2021,$154.48,13184310,$154.46,$155.87,$153.88
03/29/2021,$152.68,17570340,$152.1201,$153.7276,$151.04
